,accom_icons,bookings_count,campsites_count,distance_to_search_place,favorites_count,has_enough_recommends,id,insertion_id,is_highly_demanded,is_instant_bookable,is_newly_live,is_price_discount,lat,lng,name,owner_first_name,park_name,park_url,price_per_night,price_per_night_formatted,price_per_night_base_formatted,recommends_count,recommends_percentage,url,state_abbrv_name,state_name,city_name,country_code,is_verified,market
127,tent,0,1,None,8,0,39843,c9p9pj67pepgp24n67m0,0,0,0,0,33.2643,-95.848,#3 Serenity,Lanita,Blackland Ranch Wholeness tr,/en-US/discover/texas/blackland-ranch-wholeness-ctr,40,40,40,0,0.0,https://www.hipcamp.com/en-US/texas/blackland-ranch-wholeness-ctr/3-serenity,X,exas,ommerce,US,0,"Texas Hill Country, TX"
128,"['tent', 'rv']",0,10,None,11,0,118532,c9p9pj67pepgp24n67mg,0,0,0,0,31.10198,-95.2431163,he Rock Pit,Richard,he Rock Pit,/en-US/discover/texas/the-rock-pit,25,25,25,0,0.0,https://www.hipcamp.com/en-US/texas/the-rock-pit/the-rock-pit,X,exas,,US,0,"Texas Hill Country, TX"
129,rv,0,2,None,12,0,35885,c9p9pj67pepgp24n67n0,0,0,0,0,33.01159330453885,-95.13646801110175,reek crossing,homas,Eaton Ranch,/en-US/discover/texas/eaton-ranch,20,20,20,0,0.0,https://www.hipcamp.com/en-US/texas/eaton-ranch/creek-crossing,X,exas,,US,0,"Texas Hill Country, TX"
130,tent,3,1,None,12,1,59993,c9p9pj67pepgp24n67ng,0,0,0,0,33.2188,-95.7859,Lakeside ent Site #1,Bobbi,Rockin Bar B Ranch,/en-US/discover/texas/rockin-bar-b-ranch-1,40,40,40,2,100.0,https://www.hipcamp.com/en-US/texas/rockin-bar-b-ranch-1/lakeside-tent-site-1,X,exas,umby,US,0,"Texas Hill Country, TX"
131,tent,0,2,None,0,0,151464,c9p9pj67pepgp24n67o0,0,1,0,0,31.51265857725715,-96.9909558445215,Sand reek Forest,Jay ,Jay .’s Land,/en-US/discover/texas/jay-a-s-land-3,25,25,25,0,0.0,https://www.hipcamp.com/en-US/texas/jay-a-s-land-3/sand-creek-forest,X,exas,None,US,0,"Texas Hill Country, TX"
132,rv,1,4,None,4,0,91293,c9p9pj67pepgp24n67og,0,0,0,0,32.9532379,-96.2875174,amp ollins,Sheryl,amp ollins,/en-US/discover/texas/camp-collins,35,35,35,0,0.0,https://www.hipcamp.com/en-US/texas/camp-collins/camp-collins,X,exas,Royse ity,US,0,"Texas Hill Country, TX"
133,house,0,3,None,9,0,87729,c9p9pj67pepgp24n67p0,0,0,0,0,30.5869,-95.0827,New dventure RV Park,asey,New dventure RV Park,/en-US/discover/texas/new-adventure-rv-park,39,39,39,0,0.0,https://www.hipcamp.com/en-US/texas/new-adventure-rv-park/new-adventure-rv-park,X,exas,oldspring,US,0,"Texas Hill Country, TX"
134,tent,0,1,None,3,0,39844,c9p9pj67pepgp24n67pg,0,0,0,0,33.2642,-95.8471,#4 Meditation,Lanita,Blackland Ranch Wholeness tr,/en-US/discover/texas/blackland-ranch-wholeness-ctr,40,40,40,0,0.0,https://www.hipcamp.com/en-US/texas/blackland-ranch-wholeness-ctr/4-meditation,X,exas,ommerce,US,0,"Texas Hill Country, TX"
135,rv,0,5,None,11,0,42200,c9p9pj67pepgp24n67q0,0,1,0,0,31.35811568,-96.01785408,wisted Oaks,Kenneth,wisted Oaks,/en-US/discover/texas/twisted-oaks,35,35,35,0,0.0,https://www.hipcamp.com/en-US/texas/twisted-oaks/twisted-oaks,X,exas,Buffalo,US,0,"Texas Hill Country, TX"
136,"['tent', 'rv']",2,1,None,1,1,65465,c9p9pj67pepgp24n67qg,0,0,0,0,31.3639,-97.2572,Back to Nature,Kelli,Kelli B.’s Land,/en-US/discover/texas/kelli-b-s-land,30,30,30,1,100.0,https://www.hipcamp.com/en-US/texas/kelli-b-s-land/back-to-nature,X,exas,Moody,US,0,"Texas Hill Country, TX"
