,names,urls,prices,state
0,"The Pines, Hill Top Camp",https://www.tentrr.com/explore/New-York/The-Pines-Hill-Top-Camp?start=&end=&number_of_people=2,24,New York
1,Serenity Grove,https://www.tentrr.com/explore/New-York/Serenity-Grove?start=&end=&number_of_people=2,144,New York
2,Tree Day Weekend,https://www.tentrr.com/explore/New-York/Tree-Day-Weekend?start=&end=&number_of_people=2,100,New York
3,Mill Trail Falls: 2 tent sites available ,https://www.tentrr.com/explore/New-York/Mill-Trail-Falls-2-tent-sites-available?start=&end=&number_of_people=2,150,New York
4,BLACK HOLE and DUNKLEY FALLS,https://www.tentrr.com/explore/New-York/BLACK-HOLE-and-DUNKLEY-FALLS?start=&end=&number_of_people=2,275,New York
5,Sanctuary in the Woods  ,https://www.tentrr.com/explore/New-York/Sanctuary-in-the-Woods?start=&end=&number_of_people=2,76,New York
6,Andes Escape,https://www.tentrr.com/explore/New-York/Andes-Escape?start=&end=&number_of_people=2,108,New York
7,Terrapin Acres,https://www.tentrr.com/explore/New-York/Terrapin-Acres?start=&end=&number_of_people=2,120,New York
8,Overlook Lean to,https://www.tentrr.com/explore/New-York/Overlook-Lean-to?start=&end=&number_of_people=2,112,New York
9,Butternut Bliss,https://www.tentrr.com/explore/New-York/Butternut-Bliss?start=&end=&number_of_people=2,80,New York
10,Woods and Wildlife Tent Site,https://www.tentrr.com/explore/New-York/Woods-and-Wildlife-Tent-Site?start=&end=&number_of_people=2,24,New York
11,High Meadow Tree Farm,https://www.tentrr.com/explore/New-York/High-Meadow-Tree-Farm?start=&end=&number_of_people=2,96,New York
0,Cooperstown Hops Retreat,https://www.tentrr.com/explore/New-York/Cooperstown-Hops-Retreat?start=&end=&number_of_people=2,80,New York
1,Hudson Valley Hilltop 1,https://www.tentrr.com/explore/New-York/Hudson-Valley-Hilltop-1?start=&end=&number_of_people=2,135,New York
2,Protected Catskill Forest Site with Three Private Trails where you can set up your tent,https://www.tentrr.com/explore/New-York/Protected-Catskill-Forest-Site-with-Three-Private-Trails-where-you-can-set-up-your-tent?start=&end=&number_of_people=2,80,New York
3,Forest with a Trout Creek,https://www.tentrr.com/explore/New-York/Forest-with-a-Trout-Creek?start=&end=&number_of_people=2,150,New York
4,Hidden Meadow ,https://www.tentrr.com/explore/New-York/Hidden-Meadow?start=&end=&number_of_people=2,20,New York
5,Lakeside Tents in Historic Orchard,https://www.tentrr.com/explore/New-York/Lakeside-Tents-in-Historic-Orchard?start=&end=&number_of_people=2,280,New York
6,Camping in the Pines,https://www.tentrr.com/explore/New-York/Camping-in-the-Pines?start=&end=&number_of_people=2,72,New York
7,Rhodes End Retreat,https://www.tentrr.com/explore/New-York/Rhodes-End-Retreat?start=&end=&number_of_people=2,100,New York
8,Emerald Glade Nirvana,https://www.tentrr.com/explore/New-York/Emerald-Glade-Nirvana?start=&end=&number_of_people=2,79,New York
9,Sunlit Farm,https://www.tentrr.com/explore/New-York/Sunlit-Farm?start=&end=&number_of_people=2,68,New York
10,Little Sit Farm   Cosmic Glamping Site,https://www.tentrr.com/explore/New-York/Little-Sit-Farm-Cosmic-Glamping-Site?start=&end=&number_of_people=2,96,New York
11,Occanum Creek ,https://www.tentrr.com/explore/New-York/Occanum-Creek?start=&end=&number_of_people=2,128,New York
0,Moonlit Pond,https://www.tentrr.com/explore/New-York/Moonlit-Pond?start=&end=&number_of_people=2,108,New York
1,Camp Haven: Hilltop Retreat,https://www.tentrr.com/explore/New-York/Camp-Haven-Hilltop-Retreat?start=&end=&number_of_people=2,48,New York
2,Rifton Farm Hidden Forest,https://www.tentrr.com/explore/New-York/Rifton-Farm-Hidden-Forest?start=&end=&number_of_people=2,533,New York
3,Huntley Hollow Brook,https://www.tentrr.com/explore/New-York/Huntley-Hollow-Brook?start=&end=&number_of_people=2,96,New York
4,Country House Field with Pond,https://www.tentrr.com/explore/New-York/Country-House-Field-with-Pond?start=&end=&number_of_people=2,79,New York
5,Camp Cinnamon,https://www.tentrr.com/explore/New-York/Camp-Cinnamon?start=&end=&number_of_people=2,32,New York
6,Creek Delight at the Christmas tree farm,https://www.tentrr.com/explore/New-York/Creek-Delight-at-the-Christmas-tree-farm?start=&end=&number_of_people=2,50,New York
7,Mountain Bliss Campsite,https://www.tentrr.com/explore/New-York/Mountain-Bliss-Campsite?start=&end=&number_of_people=2,125,New York
8,Mountain View,https://www.tentrr.com/explore/New-York/Mountain-View?start=&end=&number_of_people=2,96,New York
9,Bambi and Thumper's Hideaway,https://www.tentrr.com/explore/New-York/Bambi-and-Thumper-s-Hideaway?start=&end=&number_of_people=2,80,New York
10,Little Sprite Retreat,https://www.tentrr.com/explore/New-York/Little-Sprite-Retreat?start=&end=&number_of_people=2,96,New York
11,Woodland Grove Camping  LNT,https://www.tentrr.com/explore/New-York/Woodland-Grove-Camping-LNT?start=&end=&number_of_people=2,60,New York
0,"Catskill Forest park, private property with private trails",https://www.tentrr.com/explore/New-York/Catskill-Forest-park-private-property-with-private-trails?start=&end=&number_of_people=2,64,New York
1,Pangri-La,https://www.tentrr.com/explore/New-York/Pangri-La?start=&end=&number_of_people=2,115,New York
2,ADK Mountain View Campground,https://www.tentrr.com/explore/New-York/ADK-Mountain-View-Campground?start=&end=&number_of_people=2,40,New York
3,Agfa Lake ,https://www.tentrr.com/explore/New-York/Agfa-Lake?start=&end=&number_of_people=2,108,New York
4,Nestled in the Mountain,https://www.tentrr.com/explore/New-York/Nestled-in-the-Mountain?start=&end=&number_of_people=2,132,New York
